data,id_cliente,quantidade_boleto,quantidade_payout,quantidade_payin
2023-11-09,26,6,0,0
2023-10-20,3,7,1,3
2023-12-02,41,6,8,11
2023-12-29,64,2,2,1
2023-10-18,62,3,3,3
2024-01-18,64,3,0,5
2023-12-02,27,6,8,5
2023-10-28,62,1,3,1
2024-01-22,55,1,0,0
2023-10-13,66,2,1,2
2023-12-15,65,2,2,1
2023-11-12,63,12,6,7
2023-12-10,8,1,6,6
2023-12-01,52,4,3,5
2023-12-25,42,6,7,6
2023-11-25,3,3,5,3
2024-01-27,42,8,12,5
2024-01-19,44,3,2,0
2024-01-22,102,4,6,10
2023-11-23,98,3,3,7
2023-10-15,92,1,2,3
2023-10-17,92,1,4,2
2023-10-20,82,9,3,5
2024-01-14,80,2,2,4
2024-01-15,103,2,2,5
2023-10-23,93,8,8,4
2023-12-13,101,7,3,4
2023-12-24,75,7,3,7
2023-12-07,96,4,5,7
2023-11-06,86,6,5,5
2024-01-26,83,3,2,4
2023-11-16,114,2,3,5
2023-10-25,98,5,2,7
2023-10-26,110,5,3,4
2024-01-25,77,5,3,3
2023-10-27,114,3,5,4
2023-10-21,77,6,4,6
2024-01-18,101,5,3,1
2023-12-30,114,4,4,1
2023-10-31,110,2,5,6
2023-11-20,102,7,10,5
2023-11-28,107,2,0,4
2024-01-14,38,15,7,4
2023-10-10,39,0,1,4
2023-10-04,32,8,5,7
2024-01-13,15,2,5,4
2023-11-19,36,4,3,8
2023-11-03,49,3,5,5
2023-11-22,60,2,3,1
2023-10-15,14,4,1,5
2024-01-04,9,4,1,8
2023-12-03,59,5,2,5
2024-01-13,7,6,1,7
2024-01-09,60,4,4,3
2023-11-15,3,5,9,7
2024-01-15,40,2,0,1
2023-12-10,57,10,7,4
2023-11-27,2,4,5,11
2024-01-04,42,9,5,4
2023-10-31,54,2,4,8
2023-10-31,39,2,0,2
2023-11-05,33,0,1,2
2024-01-13,62,2,5,5
2023-12-02,37,6,4,5
2023-12-28,48,0,2,0
2023-10-09,36,1,2,3
2024-01-22,17,4,1,2
2023-11-20,54,6,5,4
2024-01-02,59,2,0,4
2023-12-14,1,8,4,8
2023-11-13,74,10,9,4
2023-10-23,87,10,6,3
2023-10-03,116,4,5,8
2023-10-24,77,6,12,5
2023-11-05,84,3,1,4
2023-10-04,92,2,3,0
2023-11-24,81,4,2,5
2023-10-22,87,3,7,5
2024-01-01,87,7,5,9
2023-12-08,95,9,5,5
2023-11-28,100,12,10,5
2023-10-23,95,8,8,10
2023-10-22,116,7,3,10
2023-11-16,91,10,6,4
2023-12-02,103,0,7,2
2023-11-13,81,1,4,1
2024-01-04,82,3,7,10
2023-10-07,19,7,3,3
2023-10-18,36,2,3,5
2023-11-21,38,9,7,9
2024-01-23,31,3,7,5
2023-11-24,29,8,6,7
2023-11-15,49,6,4,7
2023-10-02,46,1,1,4
2023-10-19,74,6,6,7
2023-11-29,54,3,3,4
2023-10-27,24,1,4,1
2023-11-19,53,3,3,6
2023-10-20,37,4,6,8
2023-12-30,70,1,0,5
2023-10-21,72,1,4,2
2023-10-26,14,4,1,1
2023-10-09,54,5,7,6
2023-12-26,59,1,2,5
2024-01-29,6,4,1,2
2023-11-26,66,3,2,2
2024-01-22,14,4,3,1
2023-11-10,17,2,3,1
2023-10-10,35,2,4,4
2023-12-14,16,7,8,8
2023-12-04,64,0,0,2
2023-12-26,55,1,3,2
2023-11-16,26,2,0,6
2023-10-21,41,8,8,10
2023-10-16,16,4,8,2
2024-01-18,7,8,3,7
2024-01-20,47,1,2,1
2024-01-15,54,7,4,9
2024-01-09,38,8,6,10
2024-01-22,3,5,9,5
2023-11-01,13,4,4,4
2023-11-26,58,3,4,2
2023-10-23,9,9,8,10
2023-12-30,60,1,2,2
2023-12-20,62,2,2,0
2023-11-25,43,1,3,2
2024-01-30,99,1,1,0
2023-11-13,102,7,8,6
2024-01-24,96,7,4,1
2023-10-31,111,5,7,6
2023-11-06,75,10,8,4
2023-12-24,96,6,2,4
2023-12-22,75,6,8,5
2023-12-24,82,1,8,3
2024-01-06,95,5,11,7
2023-10-30,75,2,8,7
2023-10-21,83,2,2,3
2023-12-15,103,3,3,3
2023-11-13,77,6,2,5
2024-01-29,98,4,1,2
2024-01-21,99,0,1,1
2023-12-10,114,4,2,4
2023-10-05,75,5,5,3
2024-01-06,3,10,8,4
2023-10-31,31,5,8,10
2024-01-15,52,6,6,4
2024-01-24,23,7,4,3
2023-10-10,52,4,2,3
2023-11-01,33,5,3,4
2023-12-07,18,3,5,6
2023-11-19,15,5,1,3
2024-01-09,11,6,4,9
2024-01-11,65,4,4,1
2023-12-28,60,2,1,2
2023-11-15,26,4,3,3
2023-10-15,13,7,2,6
2023-10-19,21,11,8,7
2023-10-01,1,5,6,13
2023-11-05,56,8,5,8
2024-01-05,32,7,6,10
2023-11-27,20,14,9,5
2023-12-12,22,1,1,1
2024-01-25,29,6,4,7
2023-10-28,70,4,4,2
2024-01-26,3,9,6,5
2023-12-02,35,6,6,4
2023-11-07,18,6,6,1
2024-01-18,46,8,3,2
2024-01-12,57,8,9,7
2023-10-13,8,8,5,3
2023-12-04,30,6,7,5
2023-12-03,53,3,4,2
2023-10-23,13,2,6,3
2023-10-20,61,4,4,6
2024-01-08,78,3,7,1
2023-10-27,111,8,9,12
2023-12-26,84,6,5,2
2024-01-03,100,6,13,9
2023-11-08,98,6,6,7
2023-10-11,77,6,3,8
2024-01-17,94,0,0,4
2023-12-06,110,5,3,3
2023-11-22,114,4,5,3
2023-11-19,77,5,5,7
2023-10-19,82,9,2,6
2024-01-02,92,2,2,0
2023-11-10,92,2,1,0
2023-11-05,76,13,6,6
2023-11-15,85,13,5,10
2023-12-23,97,8,2,8
2023-10-12,107,1,1,2
2023-12-11,105,19,20,20
2023-10-11,70,2,10,5
2023-10-31,46,6,3,1
2023-10-03,19,5,3,2
2023-10-16,17,2,1,4
2024-01-27,71,6,2,8
2023-10-19,46,3,2,2
2024-01-06,56,6,5,6
2023-12-30,35,7,3,1
2023-11-02,52,4,6,5
2023-10-19,60,3,0,3
2023-11-19,7,6,7,10
2023-12-07,4,2,3,2
2023-12-03,56,6,4,6
2024-01-08,60,1,3,2
2024-01-06,7,5,7,6
2023-10-23,63,3,7,9
2024-01-27,64,2,3,3
2023-10-24,63,10,15,8
2023-10-24,36,1,3,7
2023-11-21,54,8,6,4
2024-01-06,69,3,3,4
2023-11-24,48,3,2,0
2023-11-20,49,3,1,3
2023-11-21,42,7,13,4
2024-01-28,9,10,4,10
2023-12-14,43,7,1,4
2024-01-15,13,10,5,5
2024-01-22,74,13,10,5
2023-11-28,31,6,3,5
2023-10-14,48,1,0,2
2023-10-29,52,2,3,3
2023-11-02,59,2,1,0
2023-10-27,74,8,5,11
2023-12-14,39,2,0,3
2023-11-07,26,2,4,1
2023-12-03,11,8,8,10
2023-12-24,59,6,3,1
2023-10-22,111,9,8,8
2023-10-17,80,2,0,2
2023-10-31,79,5,8,6
2023-11-03,93,3,2,5
2024-01-05,98,1,1,5
2023-10-24,99,2,2,1
2023-12-20,85,9,9,6
2023-12-06,91,3,8,5
2023-12-24,87,7,12,4
2023-12-12,114,3,1,1
2023-11-10,110,3,3,3
2023-10-29,94,4,2,5
2023-12-16,97,11,6,9
2023-11-27,107,1,2,0
2023-11-20,88,4,2,1
2023-11-21,91,5,2,4
2023-12-18,90,8,5,2
2023-12-18,47,2,2,1
2024-01-11,62,3,3,2
2023-11-29,29,6,9,2
2023-12-22,29,8,8,1
2024-01-23,62,2,5,1
2023-10-20,59,1,2,0
2024-01-10,5,6,6,8
2024-01-07,1,2,6,4
2023-12-15,72,3,1,2
2024-01-09,46,2,3,4
2023-12-17,2,9,11,9
2024-01-12,43,7,3,3
2023-10-10,46,0,3,4
2023-12-10,52,4,6,2
2024-01-02,22,1,4,0
2023-12-02,38,12,11,12
2023-12-07,55,3,2,1
2023-11-12,36,5,6,3
2023-12-05,8,8,4,6
2023-12-29,7,6,9,6
2023-10-20,13,3,5,5
2023-10-30,58,2,1,7
2023-12-17,58,3,4,3
2024-01-24,38,8,14,10
2023-12-30,5,11,8,4
2023-12-25,35,1,3,4
2023-10-06,70,3,6,2
2024-01-12,5,8,8,9
2023-11-20,46,2,3,3
2023-11-05,3,7,3,8
2023-10-06,63,15,9,9
2023-10-14,43,2,4,4
2024-01-02,69,6,0,2
2024-01-18,5,8,12,10
2023-12-05,20,11,11,18
2023-10-14,100,4,8,14
2023-10-23,76,10,12,4
2024-01-19,89,4,6,8
2023-12-02,98,6,9,7
2023-11-30,81,3,4,1
2023-11-26,88,3,6,2
2023-12-05,81,3,2,0
2024-01-21,79,3,4,6
2023-10-07,115,2,5,4
2023-12-15,89,8,6,6
2023-10-13,101,2,4,4
2023-10-24,107,1,2,2
2024-01-30,95,4,8,10
2023-10-29,114,0,0,5
2023-10-04,81,1,5,5
2023-12-03,79,3,9,1
2024-01-23,75,10,8,9
2023-10-16,107,1,2,4
2023-12-17,83,4,7,4
2023-10-18,111,10,4,3
2023-12-13,89,3,6,0
2023-10-31,99,1,1,0
2024-01-08,76,15,6,4
2023-10-08,78,4,6,4
2023-12-24,110,1,4,1
2023-12-28,78,0,1,3
2023-10-22,81,3,2,1
2023-10-25,99,2,3,0
2024-01-26,33,6,3,3
2023-10-15,9,7,5,6
2023-11-11,57,5,11,10
2024-01-05,35,3,2,1
2023-11-18,35,2,4,2
2023-11-24,1,5,9,7
2024-01-01,9,7,9,10
2023-11-27,31,7,7,5
2023-12-10,54,9,6,6
2023-11-09,32,9,4,6
2023-10-17,36,4,6,7
2023-10-21,21,9,7,3
2024-01-09,5,10,7,5
2024-01-27,4,3,3,4
2023-12-12,18,7,4,5
2024-01-27,45,5,2,6
2024-01-14,9,8,6,9
2024-01-29,74,5,8,10
2023-12-12,60,1,1,2
2023-11-27,3,6,7,8
2023-10-06,30,8,5,2
2023-10-30,63,6,7,6
2023-12-26,4,4,0,4
2023-12-05,62,3,1,1
2023-10-06,53,4,2,1
2023-12-06,65,2,1,2
2023-11-02,70,7,4,7
2023-10-23,27,6,2,8
2024-01-11,49,7,3,4
2023-12-30,11,7,7,6
2024-01-15,38,7,6,9
2023-11-17,17,1,1,2
2024-01-07,42,7,8,6
2023-12-23,75,9,7,4
2023-11-27,98,4,7,3
2023-11-27,75,8,9,13
2024-01-18,79,6,5,5
2023-12-20,110,5,1,4
2023-11-29,111,8,9,4
2023-12-20,89,8,8,2
2023-11-09,78,7,5,4
2023-11-04,110,5,2,3
2023-10-15,94,3,2,1
2023-11-08,79,6,6,13
2023-12-17,90,4,2,7
2024-01-09,77,10,5,9
2024-01-03,111,8,7,10
2024-01-17,78,6,3,2
2023-10-12,85,6,11,4
2023-11-09,95,6,4,7
2023-11-16,24,4,3,3
2023-10-16,1,5,4,7
2023-12-18,14,3,3,0
2023-11-20,15,5,0,4
2023-12-10,55,1,1,1
2023-12-07,63,10,10,8
2023-10-01,2,5,6,8
2023-11-02,47,2,0,2
2023-11-26,42,6,9,7
2024-01-28,15,2,3,1
2023-11-19,56,11,10,7
2023-12-23,39,2,3,4
2023-12-08,56,5,9,8
2024-01-01,47,2,5,0
2023-10-09,49,5,2,7
2023-12-03,42,2,8,3
2023-12-07,20,5,12,13
2023-10-07,17,4,6,2
2024-01-20,18,1,2,1
2023-10-11,48,3,0,1
2023-11-12,15,1,2,0
2023-12-21,72,1,2,3
2023-10-02,18,2,2,3
2023-10-17,65,4,2,4
2023-12-14,53,5,4,5
2023-10-30,86,4,6,10
2023-12-29,79,6,6,10
2023-12-10,90,2,6,7
2023-12-04,100,10,9,6
2023-11-24,83,2,1,2
2024-01-17,75,6,12,6
2023-12-02,88,3,2,3
2023-10-16,85,0,7,10
2023-11-20,78,8,3,1
2023-10-26,92,4,1,1
2024-01-12,92,2,4,2
2023-12-30,100,5,9,6
2023-11-04,107,3,1,4
2023-10-02,86,11,2,6
2023-12-20,97,6,4,5
2023-10-14,98,8,4,5
2023-12-08,113,13,11,9
2023-11-22,92,4,0,3
2024-01-26,100,8,16,7
2023-12-13,60,1,3,1
2024-01-17,2,6,3,2
2024-01-28,74,4,14,7
2023-12-15,40,0,3,1
2023-12-11,56,7,9,7
2024-01-03,2,11,3,4
2023-12-27,52,5,6,2
2023-10-13,72,2,1,3
2023-10-08,74,7,6,4
2023-11-26,20,8,10,7
2023-11-09,61,8,4,8
2023-11-23,19,1,6,6
2024-01-23,71,4,5,5
2024-01-02,8,9,5,5
2023-12-01,67,6,5,2
2023-11-04,41,11,8,10
2023-12-02,33,2,5,2
2023-11-27,22,3,2,4
2023-12-26,12,7,11,6
2023-10-24,66,3,2,1
2024-01-07,19,4,2,5
2023-12-06,33,2,2,2
2023-10-16,15,4,1,1
2023-12-05,5,5,9,6
2023-11-24,50,7,3,13
2023-12-05,22,4,2,1
2023-12-25,29,2,3,3
2024-01-22,7,6,6,2
2023-10-03,48,1,2,0
2023-10-16,19,7,4,6
2023-11-14,62,1,2,4
2023-11-02,54,3,3,5
2024-01-07,48,2,2,1
2024-01-16,44,3,5,0
2023-10-10,107,1,1,6
2023-10-02,83,0,4,4
2024-01-03,96,4,2,2
2023-12-04,105,20,20,19
2024-01-22,99,4,1,3
2023-12-21,115,9,4,4
2024-01-16,86,8,7,3
2023-10-19,89,11,3,5
2023-10-28,107,4,0,3
2023-11-26,83,5,4,6
2024-01-07,93,6,6,5
2023-12-04,97,8,5,10
2023-12-19,104,46,41,35
2023-12-27,87,7,7,7
2024-01-30,78,6,3,2
2024-01-15,78,6,4,4
2023-12-14,78,1,2,4
2023-12-07,114,3,5,3
2023-11-11,7,6,5,6
2023-12-28,4,1,0,1
2023-10-11,1,5,6,6
2023-10-17,27,2,5,4
2023-10-28,64,0,2,4
2023-10-12,70,3,4,3
2023-12-07,50,3,11,6
2024-01-20,64,0,2,5
2024-01-22,24,2,2,1
2024-01-16,33,3,3,1
2023-11-24,38,5,4,7
2024-01-11,64,0,1,1
2023-10-29,17,3,4,2
2024-01-12,33,0,3,0
2023-11-11,66,1,6,2
2023-10-23,53,2,9,4
2023-12-31,5,8,4,14
2023-11-14,24,3,4,5
2023-10-20,14,2,5,1
2023-12-09,50,9,2,6
2023-10-21,58,7,6,6
2023-11-15,59,5,1,3
2024-01-03,17,4,3,5
2023-11-29,1,7,5,3
2023-12-31,46,3,2,3
2023-11-15,74,7,7,13
2024-01-27,52,7,10,4
2024-01-19,70,5,4,5
2023-11-26,57,6,8,6
2023-12-28,22,0,3,5
2023-12-26,60,2,1,2
2023-10-01,41,10,11,4
2023-12-06,24,1,3,2
2024-01-04,41,5,12,11
2023-12-22,11,5,7,10
2023-12-22,60,1,4,6
2023-12-21,21,9,9,8
2023-12-14,29,5,5,7
2023-12-20,18,3,3,3
2023-12-23,35,2,2,3
2024-01-13,70,4,4,0
2024-01-27,12,8,8,9
2024-01-18,36,2,6,2
2024-01-02,39,3,0,3
2023-10-13,79,3,6,7
2023-12-18,117,7,13,5
2023-10-06,100,7,10,6
2024-01-21,102,4,6,3
2023-11-02,81,1,0,3
2023-12-29,80,1,1,1
2023-12-04,91,6,4,8
2024-01-09,111,7,4,8
2023-11-10,79,1,8,3
2023-11-04,85,8,5,2
2023-11-14,92,3,2,4
2023-12-31,98,4,2,7
2023-10-02,110,3,1,3
2023-10-30,100,8,9,8
2023-12-11,95,8,9,9
2023-11-03,111,3,12,6
2023-11-21,89,7,2,9
2023-10-03,95,6,10,8
2023-11-28,89,6,4,10
2023-11-02,85,9,4,4
2023-10-05,86,4,9,6
2023-12-03,110,2,1,4
2023-12-11,97,5,9,8
2023-10-15,87,11,6,2
2023-12-16,79,6,7,5
2023-10-23,115,3,5,8
2023-10-29,99,1,5,1
2023-10-23,111,5,1,9
2023-12-26,63,10,11,8
2023-11-10,8,6,4,5
2023-10-21,33,3,2,2
2023-11-07,56,8,9,3
2023-12-25,27,5,6,5
2023-12-15,70,5,5,6
2023-12-13,69,1,4,3
2023-12-13,57,6,9,10
2023-10-14,36,4,4,3
2023-11-18,20,8,4,5
2023-11-22,62,1,5,2
2023-12-14,59,1,5,1
2024-01-19,46,1,2,3
2024-01-02,9,7,10,4
2023-11-13,24,1,3,2
2023-12-03,40,2,2,3
2023-10-28,59,2,4,3
2023-11-25,52,3,4,2
2023-10-25,13,4,5,6
2023-11-10,19,2,1,7
2024-01-21,50,3,10,4
2023-10-23,57,10,5,8
2024-01-05,3,6,8,11
2023-12-25,17,4,1,4
2023-12-09,74,11,3,3
2024-01-03,56,7,13,8
2023-12-22,5,7,11,5
2023-12-29,8,5,9,7
2024-01-06,70,4,2,5
2024-01-09,27,6,2,7
2024-01-17,49,8,9,7
2023-10-25,63,13,9,10
2023-12-03,69,4,3,4
2023-12-19,84,4,7,4
2023-11-02,111,1,4,11
2024-01-09,98,6,8,5
2023-11-03,75,8,8,11
2023-11-12,101,3,3,2
2023-11-01,82,4,8,5
2023-10-06,83,0,4,1
2023-11-16,94,3,0,1
2023-11-29,93,6,3,4
2023-11-21,80,4,0,3
2024-01-25,89,7,5,10
2023-11-10,91,5,7,5
2024-01-04,86,6,4,7
2023-12-19,88,2,3,5
2023-12-31,86,3,6,6
2023-11-10,84,1,3,2
2023-12-14,81,1,3,2
2023-11-23,81,2,1,1
2024-01-17,77,6,8,9
2023-12-22,87,6,11,7
2024-01-09,16,7,5,7
2023-12-14,12,12,10,12
2023-12-31,70,5,5,2
2023-12-05,35,3,1,3
2024-01-07,50,3,7,5
2024-01-19,5,9,3,9
2024-01-28,48,2,6,1
2023-12-04,42,4,4,5
2023-12-29,46,5,3,3
2023-10-02,37,8,3,7
2023-10-30,36,4,4,7
2023-12-03,9,5,6,6
2023-12-18,64,2,4,2
2023-12-08,41,10,10,8
2023-11-10,67,5,4,12
2023-11-06,60,5,4,4
2023-12-14,36,3,6,5
2023-12-14,38,8,9,8
2023-12-26,57,7,3,8
2023-11-29,59,3,1,2
2023-12-21,56,7,6,5
2023-12-30,41,15,11,3
2023-11-26,54,4,8,0
2023-11-23,8,7,12,6
2023-10-27,43,6,4,2
2023-10-30,2,9,8,7
